ticker,date,open,high,low,close,volume
ALEC,2019-02-07,18.7,19.5,17.51,18,3626000
ALEC,2019-02-08,17.72,17.8,15.55,16.3,1094000
ALEC,2019-02-11,16.23,17.5,16.16,17.18,538600
ALEC,2019-02-12,17.2,17.9,17.2,17.5,299400
ALEC,2019-02-13,17.5,19,17.5,18.25,957300
ALEC,2019-02-14,18.26,18.9,18,18.8,337700
ALEC,2019-02-15,18.9,20.38,18.7,19.78,408800
ALEC,2019-02-19,19.75,22,18.94,20.73,530100
ALEC,2019-02-20,21.12,21.83,20.6,20.92,405700
ALEC,2019-02-21,21.29,22.22,20.88,21.41,529300
ALEC,2019-02-22,21.47,23.6,20.905,22.5,436800
ALEC,2019-02-25,22.85,23.84,21.18,21.53,254400
ALEC,2019-02-26,21.52,22.32,19.4,20.62,211400
ALEC,2019-02-27,20.57,22.81,19.86,19.92,257600
ALEC,2019-02-28,19.86,20.99,19.25,19.59,187900
ALEC,2019-03-01,19.86,22.61,19.8,21,412400
ALEC,2019-03-04,21.69,23.5,20.41,20.86,426300
ALEC,2019-03-05,21.23,22.0032,19.42,21.02,187400
ALEC,2019-03-06,21.34,22.225,19.41,19.5,219900
ALEC,2019-03-07,19.5,19.75,17.51,17.7,515400
ALEC,2019-03-08,17.69,18.79,16.17,16.61,529700
ALEC,2019-03-11,16.79,17.03,15.16,15.97,566200
ALEC,2019-03-12,16,17.055,15.97,16.62,343000
ALEC,2019-03-13,16.63,16.8433,16.02,16.4,245700
ALEC,2019-03-14,16.61,17.63,16.08,17.35,306900
ALEC,2019-03-15,17.61,18.35,17.31,18.05,1554400
ALEC,2019-03-18,17.97,19,17.4,18.81,244200
ALEC,2019-03-19,18.75,19.84,18.5,19.26,203900
ALEC,2019-03-20,19.14,19.34,18.25,18.9,465200
ALEC,2019-03-21,18.75,19.01,17.63,18.52,383800
ALEC,2019-03-22,18.4,18.5755,17.85,18.05,217200
ALEC,2019-03-25,18.16,19.47,17.91,19.39,72300
ALEC,2019-03-26,19.42,20,18.84,19.36,60900
ALEC,2019-03-27,18.98,19.32,17.55,17.73,147000
ALEC,2019-03-28,17.67,18.76,17.57,18.04,163900
ALEC,2019-03-29,18.13,19.4995,17.64,18.72,298400
ALEC,2019-04-01,18.9,19.9,18.75,19.81,218000
ALEC,2019-04-02,19.66,21.5,19.4267,21.28,389800
ALEC,2019-04-03,21.37,22.93,21.2674,22.3,303400
ALEC,2019-04-04,22.24,23.56,22.24,23.4,222200
ALEC,2019-04-05,23.47,25.1,23.4,24.06,357000
ALEC,2019-04-08,24,25.905,23.78,25.77,291800
ALEC,2019-04-09,25.77,26.21,23.22,23.48,584900
ALEC,2019-04-10,23.39,24.27,22.4216,24.18,269500
ALEC,2019-04-11,24.37,24.5645,23.5971,24.4,87600
ALEC,2019-04-12,24.56,27,24.2774,26.42,820800
ALEC,2019-04-15,26.25,26.4,24.0419,24.69,185800
ALEC,2019-04-16,25.01,25.63,24.7,24.9,72900
ALEC,2019-04-17,24.92,24.92,21.115,21.53,289900
ALEC,2019-04-18,21.5,22.5,20.88,22.47,155500
ALEC,2019-04-22,22.34,22.5,21.01,21.4,126400
ALEC,2019-04-23,21.44,21.77,21.2156,21.22,65000
ALEC,2019-04-24,21.37,21.8499,20.6323,21.59,136200
ALEC,2019-04-25,21.72,21.75,21.11,21.48,55800
ALEC,2019-04-26,21.52,21.52,21.11,21.36,69300
ALEC,2019-04-29,21.44,21.76,20.3046,20.7,138000
ALEC,2019-04-30,20.66,20.87,19.6001,19.86,72000
ALEC,2019-05-01,19.94,20.7996,19.35,19.72,103100
ALEC,2019-05-02,19.79,20.74,19.35,20.5,118100
ALEC,2019-05-03,20.53,20.53,19.6256,19.89,81800
ALEC,2019-05-06,19.58,20.5,19.58,20.26,70600
ALEC,2019-05-07,20.09,20.09,18.2665,18.74,67600
ALEC,2019-05-08,18.73,20.65,18.5818,20.35,50300
ALEC,2019-05-09,20,20.9,19.42,19.91,74200
ALEC,2019-05-10,19.85,20.34,19.21,20.05,135300
ALEC,2019-05-13,19.68,20.21,18.54,19.82,208900
ALEC,2019-05-14,19.43,21.66,19.234,21.04,163700
ALEC,2019-05-15,21.42,22.54,20.4464,21.83,111800
ALEC,2019-05-16,21.94,23.14,20.62,20.97,184900
ALEC,2019-05-17,20.66,20.8495,19.695,20.31,147600
ALEC,2019-05-20,19.92,20.2395,19.285,19.61,88400
ALEC,2019-05-21,19.81,20.44,19.55,19.74,84500
ALEC,2019-05-22,19.71,19.91,18.6217,19.53,74100
ALEC,2019-05-23,19.24,19.4206,18.51,18.98,50100
ALEC,2019-05-24,19.1,19.8,18.94,19.5,52400
ALEC,2019-05-28,19.59,19.98,18.58,18.84,77500
ALEC,2019-05-29,18.83,18.9995,17.55,17.87,81700
ALEC,2019-05-30,18.06,18.0677,17.27,17.35,82900
ALEC,2019-05-31,17.06,17.2688,16,16.91,78600
ALEC,2019-06-03,16.89,17.0064,15.78,16.26,104600
ALEC,2019-06-04,16.54,17.23,15.87,16.98,66700
ALEC,2019-06-05,17.11,17.4923,16.18,16.81,93200
ALEC,2019-06-06,17.35,17.35,16.6,16.96,86500
ALEC,2019-06-07,17.1,17.39,16.04,17.35,105600
ALEC,2019-06-10,17.65,20.96,17.55,19,331900
ALEC,2019-06-11,19.81,20.3,19,20.27,104300
ALEC,2019-06-12,20.26,20.7,19.82,20.1,138400
ALEC,2019-06-13,20.19,21.22,19.99,20.73,132400
ALEC,2019-06-14,20.7,21.175,19.7,20.16,168100
ALEC,2019-06-17,20.15,20.99,19.42,20.35,154900
ALEC,2019-06-18,20.52,20.74,19.34,19.53,99800
ALEC,2019-06-19,19.58,19.77,18.8,19.12,75900
ALEC,2019-06-20,19.1,19.1,18.07,18.33,103000
ALEC,2019-06-21,18.22,18.96,17.67,18.2,388900
ALEC,2019-06-24,18.26,18.8526,17.729,18.23,103700
ALEC,2019-06-25,18.17,18.5,17.5,17.82,69200
ALEC,2019-06-26,17.74,17.98,17.42,17.5,94400
ALEC,2019-06-27,17.56,18.0799,17.37,17.99,52200
ALEC,2019-06-28,18.17,19.61,18.17,19,660400
ALEC,2019-07-01,19.34,19.46,18.63,18.88,95100
ALEC,2019-07-02,18.79,19.875,18.7175,19.57,94200
ALEC,2019-07-03,19.68,19.81,18.22,18.59,49000
