ticker,date,open,high,low,close,volume
DTIL,2019-03-28,18,19,17.16,17.44,3864000
DTIL,2019-03-29,17.75,18.18,16.53,17.95,709200
DTIL,2019-04-01,17.95,17.95,16.66,16.94,201000
DTIL,2019-04-02,16.95,17.43,16.6,16.76,255400
DTIL,2019-04-03,16.77,16.782,14.805,15.05,423000
DTIL,2019-04-04,15.03,15.66,14.66,15.15,140200
DTIL,2019-04-05,15.1,15.38,14.33,14.74,178100
DTIL,2019-04-08,14.74,14.89,14.41,14.8195,102200
DTIL,2019-04-09,14.7,15.45,14.56,15.18,100600
DTIL,2019-04-10,15.08,15.49,14.51,14.6,124000
DTIL,2019-04-11,14.7,14.98,13.16,14.04,112500
DTIL,2019-04-12,14.16,14.3,13.025,13.32,75900
DTIL,2019-04-15,13.16,13.5424,13.1,13.19,31100
DTIL,2019-04-16,13.05,13.48,12.97,13.26,221900
DTIL,2019-04-17,13.2,13.5,12.8301,12.98,84800
DTIL,2019-04-18,13.17,13.18,12.13,12.18,100200
DTIL,2019-04-22,12.87,13.57,12.22,13.44,687600
DTIL,2019-04-23,13.7,13.9,13.21,13.58,226800
DTIL,2019-04-24,13.75,13.9548,12.66,12.78,161900
DTIL,2019-04-25,12.87,13.03,12.325,12.5,123200
DTIL,2019-04-26,12.58,12.99,12.4,12.64,99300
DTIL,2019-04-29,12.64,13.83,12.64,13.03,204800
DTIL,2019-04-30,13.04,13.35,12.81,13,69600
DTIL,2019-05-01,12.92,13.465,12.55,12.94,132600
DTIL,2019-05-02,12.8,12.885,11.774,12.6,163900
DTIL,2019-05-03,12.66,13.0867,11.8,11.88,121100
DTIL,2019-05-06,11.93,13.06,11.89,13,130900
DTIL,2019-05-07,13.01,13.4,12.6,12.94,219000
DTIL,2019-05-08,12.9,13.2,12.69,12.74,137800
DTIL,2019-05-09,12.69,13.18,12.5,12.91,88400
DTIL,2019-05-10,12.86,13.15,12.7154,13.05,185700
DTIL,2019-05-13,12.96,13.28,12.8473,13.15,125500
DTIL,2019-05-14,13.24,13.75,13.24,13.69,181800
DTIL,2019-05-15,13.6,13.77,12.72,12.73,167500
DTIL,2019-05-16,12.8,13.31,12.7,13.12,99700
DTIL,2019-05-17,12.96,13.015,12.1,12.46,116800
DTIL,2019-05-20,12.45,13.5,12.2108,13.18,135500
DTIL,2019-05-21,13.19,13.72,12.7935,13.27,262600
DTIL,2019-05-22,13.2,13.49,12.65,13.21,147400
DTIL,2019-05-23,13.04,13.47,12.91,13.31,87200
DTIL,2019-05-24,13.38,13.9,13.38,13.73,135300
DTIL,2019-05-28,13.75,14.0096,13.635,13.96,117700
DTIL,2019-05-29,13.85,13.99,13.0927,13.46,63700
DTIL,2019-05-30,13.55,13.55,12.69,12.78,112200
DTIL,2019-05-31,12.66,13.49,12.52,13.43,108500
DTIL,2019-06-03,13.44,13.59,12.7472,13.01,122600
DTIL,2019-06-04,13.04,13.55,12.89,13.49,126000
DTIL,2019-06-05,13.5,13.7,13.05,13.48,296600
DTIL,2019-06-06,13.52,13.8892,13.2,13.51,122700
DTIL,2019-06-07,13.68,13.96,13,13.2,197900
DTIL,2019-06-10,13.28,13.59,12.5,12.93,212500
DTIL,2019-06-11,12.9,13.1,11.99,12.13,142600
DTIL,2019-06-12,12.22,12.39,11.93,12.04,178800
DTIL,2019-06-13,12.12,12.52,12.0105,12.46,355600
DTIL,2019-06-14,12.62,13.25,12.55,12.97,268900
DTIL,2019-06-17,13.33,13.5499,12.4293,12.54,181000
DTIL,2019-06-18,12.64,13.75,12.55,13.7,238000
DTIL,2019-06-19,13.74,14.0099,13.0317,13.85,221300
DTIL,2019-06-20,13.97,15.24,13.9118,15.05,473300
DTIL,2019-06-21,15.19,15.3,14.55,14.72,422700
DTIL,2019-06-24,14.8,15.03,12.3901,13.21,361600
DTIL,2019-06-25,13.3,13.59,13.11,13.2,192300
DTIL,2019-06-26,13.22,13.5,12.77,12.83,146200
DTIL,2019-06-27,12.87,13.33,12.8129,13.23,98500
DTIL,2019-06-28,13.35,13.85,13.01,13.25,1321900
DTIL,2019-07-01,13.2,13.4,12.83,12.98,358400
