ticker,date,open,high,low,close,volume
CRBU,2021-07-23,17.65,19.68,16.32,16.32,6816000
CRBU,2021-07-26,18,18.78,16.75,16.75,1791800
CRBU,2021-07-27,17.3212,17.77,15,15.96,1502100
CRBU,2021-07-28,16.1,16.3,15.45,15.75,909200
CRBU,2021-07-29,15.85,16.36,15.02,15.8,830200
CRBU,2021-07-30,15.6,16.25,15.36,16.2,383800
CRBU,2021-08-02,16.34,17.9,16.21,17.51,693100
CRBU,2021-08-03,18.43,19.03,17.1201,17.2,656700
CRBU,2021-08-04,17.17,18.325,17.0033,18.05,527700
CRBU,2021-08-05,18.22,22.59,18.22,21.7,1992800
CRBU,2021-08-06,22.75,25.99,21.92,22.39,1247200
CRBU,2021-08-09,23.38,26.45,23.38,26.13,1187900
CRBU,2021-08-10,26.33,29,26.33,27.59,1421700
CRBU,2021-08-11,28.2,28.4887,24.87,25.37,1073900
CRBU,2021-08-12,25.45,27,22.8,23.23,918200
CRBU,2021-08-13,23.05,24.84,23.05,24.23,580200
CRBU,2021-08-16,24.35,27.16,23.34,26.48,589500
CRBU,2021-08-17,26.19,28.47,23.8,24.3,761800
CRBU,2021-08-18,25.14,27.75,24.5,27.04,734900
CRBU,2021-08-19,26.34,27.37,25.36,25.42,518200
CRBU,2021-08-20,26.02,26.8,25.61,26.09,845800
CRBU,2021-08-23,27,29.95,26.32,29.24,1357300
CRBU,2021-08-24,29.35,29.61,26.75,27.87,853400
CRBU,2021-08-25,28.06,29,27.09,28.49,590500
CRBU,2021-08-26,28.5,28.75,26.7,27.03,553400
CRBU,2021-08-27,26.77,27.64,25.4,26.98,797200
CRBU,2021-08-30,26.97,27.195,24.47,24.58,953200
CRBU,2021-08-31,24.76,27.3,24.76,27.2,648900
CRBU,2021-09-01,26.75,28.32,26.7,26.98,714000
CRBU,2021-09-02,26.68,29.14,26.68,28.49,668600
CRBU,2021-09-03,28.79,30.06,27.9601,29.98,801500
CRBU,2021-09-07,31.83,32.645,29.52,30.29,1690700
CRBU,2021-09-08,30.89,30.9965,27.8001,28.32,1016300
CRBU,2021-09-09,28.32,29.53,28.28,28.84,669800
CRBU,2021-09-10,29,29.95,28.3,28.85,538600
CRBU,2021-09-13,29,29.14,27.08,27.62,654900
CRBU,2021-09-14,27.66,29.9396,27.62,29.13,746900
CRBU,2021-09-15,28.75,29.38,27.25,27.55,874000
CRBU,2021-09-16,27.5,27.97,27.1,27.67,553400
CRBU,2021-09-17,27.5,27.95,24.2,24.57,4022800
CRBU,2021-09-20,23.89,24.22,22.5,23.52,938200
CRBU,2021-09-21,23.9,25.6,23.05,24.34,1156300
CRBU,2021-09-22,24.37,24.83,22.6728,24.29,571500
CRBU,2021-09-23,24.5,26.6294,24.04,26.49,445400
CRBU,2021-09-24,26.04,26.13,24.13,24.24,655800
CRBU,2021-09-27,24,24.495,23.04,24.03,379000
CRBU,2021-09-28,23.57,24.43,22.88,24.06,659000
CRBU,2021-09-29,23.96,25.46,23,23.8,655100
CRBU,2021-09-30,23.62,24.15,23.055,23.87,387600
CRBU,2021-10-01,23.26,23.42,21.4,22.31,694710
CRBU,2021-10-04,22,22.66,21.7701,22.18,444600
CRBU,2021-10-05,22.25,22.69,21.73,22.45,423100
CRBU,2021-10-06,22.23,23.5,21.88,23.11,485500
CRBU,2021-10-07,23.11,23.95,22.3,22.6,450900
CRBU,2021-10-08,22.18,22.79,18.91,19.16,1208200
CRBU,2021-10-11,19.21,19.5,18.1813,19.33,495400
CRBU,2021-10-12,19.61,20.64,19.52,20.53,525900
CRBU,2021-10-13,20.58,21.3,20.24,20.78,463900
CRBU,2021-10-14,21.75,23.17,21.005,22.59,415100
CRBU,2021-10-15,22.94,22.94,20.8,20.84,409800
CRBU,2021-10-18,21,21.06,19.89,20.03,404400
CRBU,2021-10-19,20.46,20.91,19.585,19.97,425400
CRBU,2021-10-20,20.02,20.45,19.4,19.78,374500
CRBU,2021-10-21,19.91,20.38,19.6,20.18,349700
CRBU,2021-10-22,20.38,20.81,19.6,20.7,260700
CRBU,2021-10-25,20.7,22,20.315,21.94,215600
CRBU,2021-10-26,21.92,24,21.5623,23.15,404300
CRBU,2021-10-27,23.2,23.47,21.95,22.79,216000
CRBU,2021-10-28,22.58,23.3379,21.97,22.11,221900
CRBU,2021-10-29,21.93,22.65,21.29,22.11,290800
CRBU,2021-11-01,22.01,23.192,22.01,22.19,334800
CRBU,2021-11-02,22.27,22.43,21.65,22.3,302200
CRBU,2021-11-03,22.46,23.79,22.39,22.89,303500
CRBU,2021-11-04,22.6,23.52,22.5598,23.26,312100
CRBU,2021-11-05,23.2,23.4,22.08,22.44,212200
CRBU,2021-11-08,22.4,22.77,20.9,21.81,336000
CRBU,2021-11-09,21.81,22.35,20.78,21.16,330700
CRBU,2021-11-10,21.25,21.87,20.5326,20.75,229400
CRBU,2021-11-11,20.88,21.17,20.41,20.52,298200
CRBU,2021-11-12,20.66,21.82,20.5,21.7,412500
CRBU,2021-11-15,22.45,23.44,21.15,21.73,295700
CRBU,2021-11-16,21.61,21.93,20.72,21.53,278400
CRBU,2021-11-17,21.38,22.6499,21.18,22.25,254400
CRBU,2021-11-18,22.18,22.8,20.26,20.66,423600
CRBU,2021-11-19,20.56,21.9,20.56,21.28,258300
CRBU,2021-11-22,21.9,21.9,18.81,18.86,498700
CRBU,2021-11-23,18.62,18.85,17.13,17.6,570800
CRBU,2021-11-24,17.5,17.94,16.99,17.68,377900
CRBU,2021-11-26,17.5,18.5975,17.2,17.68,200800
CRBU,2021-11-29,18.1,18.9,16.93,17.05,318200
CRBU,2021-11-30,18.05,18.91,16.98,18.59,974800
CRBU,2021-12-01,19.61,19.61,16.93,16.93,503200
CRBU,2021-12-02,16.94,18.17,16.16,18.01,458700
CRBU,2021-12-03,17.91,18.04,16.72,17.07,370700
CRBU,2021-12-06,16.74,17.14,16.27,16.92,473900
CRBU,2021-12-07,17.05,19.26,16.9501,18.78,270200
CRBU,2021-12-08,19.04,19.315,17.92,18.76,197800
CRBU,2021-12-09,18.9,19.14,17.75,17.84,150900
CRBU,2021-12-10,17.97,18.48,17.4,17.44,175600
CRBU,2021-12-13,17.5,18.265,16.58,17.06,313900
CRBU,2021-12-14,16.64,17.03,15.9,16.51,456000
CRBU,2021-12-15,16.47,16.91,15.7,16.89,336900
CRBU,2021-12-16,17.3,17.3,15.5,15.84,389000
CRBU,2021-12-17,15.64,16.44,15.09,15.8,1177500
CRBU,2021-12-20,15.68,15.68,14.55,15.16,457500
CRBU,2021-12-21,15.34,15.91,15.15,15.81,474100
CRBU,2021-12-22,16,16.25,15.26,15.64,240100
CRBU,2021-12-23,15.46,16.79,15.25,16.17,527600
CRBU,2021-12-27,16.25,16.77,15.35,15.61,408400
CRBU,2021-12-28,15.51,16.34,15.11,15.3,398800
CRBU,2021-12-29,15.13,15.19,14.17,14.59,473500
CRBU,2021-12-30,14.53,15.526,14.53,14.89,280600
CRBU,2021-12-31,14.99,15.63,14.89,15.09,299400
CRBU,2022-01-03,15.14,15.66,14.75,15.32,241200
CRBU,2022-01-04,15.43,15.85,14.29,14.49,365100
CRBU,2022-01-05,14.52,14.56,13.3683,13.4,419800
CRBU,2022-01-06,13.17,13.84,12.57,12.82,553000
CRBU,2022-01-07,12.93,13.26,12.61,13.01,465800
CRBU,2022-01-10,12.87,12.89,12.2,12.64,537100
CRBU,2022-01-11,12.66,13,12.4001,12.95,685700
CRBU,2022-01-12,13.26,13.48,12.68,12.85,371100
CRBU,2022-01-13,13.13,13.13,11.56,11.63,637600
CRBU,2022-01-14,11.49,11.7499,10.82,11.61,614800
CRBU,2022-01-18,11.21,11.8,10.8,10.87,575000
CRBU,2022-01-19,10.52,11.72,10.52,11.33,958900
CRBU,2022-01-20,11.48,11.75,10.58,10.74,1322100
CRBU,2022-01-21,10.64,11.15,10.13,10.26,567700
CRBU,2022-01-24,9.3371,10.82,9.3371,10.68,607100
CRBU,2022-01-25,10.44,11.03,10.33,10.64,327600
CRBU,2022-01-26,10.83,11.03,10.16,10.27,421500
CRBU,2022-01-27,10.38,10.6874,9.92,10.07,443700
CRBU,2022-01-28,10.04,10.3989,9.7,10.31,428400
CRBU,2022-01-31,10.63,11,10.22,10.73,943100
CRBU,2022-02-01,10.91,11.21,10.52,11.11,544700
CRBU,2022-02-02,11.19,11.48,10.35,10.47,510900
CRBU,2022-02-03,10.18,10.67,10.1364,10.47,710200
CRBU,2022-02-04,10.42,11.19,10.33,10.6,425400
CRBU,2022-02-07,10.69,11.38,10.6,11.09,409100
CRBU,2022-02-08,11.01,11.85,10.75,11.69,413200
CRBU,2022-02-09,11.85,13.06,11.85,12.71,633100
CRBU,2022-02-10,12.46,12.85,11.55,11.99,681400
,,,,,,
