ticker,date,open,high,low,close,volume
KYMR,2020-08-21,35,37.745,28.33,33.26,3875100
KYMR,2020-08-24,32.92,34.15,27.845,28.44,576000
KYMR,2020-08-25,27.8,31.25,26.9093,31.25,416400
KYMR,2020-08-26,31.85,31.85,30,30.28,234000
KYMR,2020-08-27,30,34.8,29.65,33.27,999500
KYMR,2020-08-28,33.27,34.43,30.7468,33.28,290900
KYMR,2020-08-31,32.78,33.99,31.9,31.9,113600
KYMR,2020-09-01,31.27,32.795,30.01,31.16,89300
KYMR,2020-09-02,31.08,32.61,30.8,31.15,126500
KYMR,2020-09-03,31.6,31.95,29.57,30.29,128500
KYMR,2020-09-04,30.27,30.35,29.32,29.55,85000
KYMR,2020-09-08,29.36,31.27,26.87,27.28,251000
KYMR,2020-09-09,27.99,28.32,25.43,26.1,136600
KYMR,2020-09-10,26.06,30.1,25.56,29.23,215600
KYMR,2020-09-11,29.08,32.2999,28.53,31.19,181000
KYMR,2020-09-14,31.19,32.9,30.5,32.78,87000
KYMR,2020-09-15,31.65,32,30.22,30.51,169600
KYMR,2020-09-16,30.08,31.443,29,29.92,139700
KYMR,2020-09-17,29.58,29.8,28.6206,29.02,322800
KYMR,2020-09-18,29.09,30.96,28.8,30.64,118500
KYMR,2020-09-21,30.16,31.1378,28.61,29.22,255600
KYMR,2020-09-22,29.35,30.32,29.16,29.65,96200
KYMR,2020-09-23,29.84,30.43,28.95,29.98,97800
KYMR,2020-09-24,30.02,31.03,29.67,29.91,346100
KYMR,2020-09-25,29.98,32.73,29.62,30.84,139300
KYMR,2020-09-28,30.83,31.89,30.51,30.79,159100
KYMR,2020-09-29,30.82,32.47,30.82,31.54,67000
KYMR,2020-09-30,31.56,33,30.56,32.31,84400
KYMR,2020-10-01,32.57,32.935,28.5201,29.08,359600
KYMR,2020-10-02,28.42,30.6,27.65,29.31,100400
KYMR,2020-10-05,29.6,30.36,28,28.07,111100
KYMR,2020-10-06,28.22,30.13,28.22,28.92,68300
KYMR,2020-10-07,29.08,32.29,29.0029,31.75,43600
KYMR,2020-10-08,31.7,35.12,31.6,33.5,140800
KYMR,2020-10-09,33.48,38,33.45,36.89,157200
KYMR,2020-10-12,37.26,39.17,36.14,37.25,194200
KYMR,2020-10-13,37.35,39.89,37.35,38.5,96700
KYMR,2020-10-14,39.1,39.65,35.31,36.76,122600
KYMR,2020-10-15,36.09,39.6,36.09,38.8,80300
KYMR,2020-10-16,38.4,38.95,36.99,38.38,53800
KYMR,2020-10-19,38.41,41.71,37.2,39.24,65300
KYMR,2020-10-20,39.24,39.96,38.06,38.07,34900
KYMR,2020-10-21,38.59,38.605,34.13,34.57,112400
KYMR,2020-10-22,34.73,37.89,33.02,35.01,74400
KYMR,2020-10-23,35.03,39.99,35.03,37.5,57600
KYMR,2020-10-26,37.6,38.665,35.46,36.5,92800
KYMR,2020-10-27,36.05,38.65,36.05,37.75,123300
KYMR,2020-10-28,37.25,37.6,36.07,36.07,33900
KYMR,2020-10-29,36.26,37,35.64,36.45,36700
KYMR,2020-10-30,36.55,37.1527,34.5001,35.99,50700
KYMR,2020-11-02,36.67,37.14,36.1,36.18,55800
KYMR,2020-11-03,36.38,37.55,35.8677,36.84,45200
KYMR,2020-11-04,37.08,40.915,37.05,40.44,127200
KYMR,2020-11-05,40.99,45.34,40.99,43.71,111300
KYMR,2020-11-06,44.13,44.7,42.81,43.95,120300
KYMR,2020-11-09,44.6,47.27,43.35,44.8,72200
KYMR,2020-11-10,44.8,48.2,43.89,46.34,107600
KYMR,2020-11-11,46.79,49.6628,46.59,46.96,108800
KYMR,2020-11-12,46.26,48.243,44.53,45.06,154800
KYMR,2020-11-13,45.79,46.72,44.96,46.13,132000
KYMR,2020-11-16,46.68,47.08,44.9,46.6,108700
KYMR,2020-11-17,46.59,52.08,45.5,51.36,97500
KYMR,2020-11-18,52.2,53.49,50.39,51.2,84500
KYMR,2020-11-19,51.67,52.155,49.755,50.12,86600
KYMR,2020-11-20,50.6532,50.6532,48.4,49.86,60100
KYMR,2020-11-23,50,50,46.02,47.84,82800
KYMR,2020-11-24,49,49.93,44.765,45.81,101900
KYMR,2020-11-25,47.17,48.06,45.68,47.2,86600
KYMR,2020-11-27,47.86,49,46.79,48.03,72600
KYMR,2020-11-30,48.27,49.11,46.02,46.64,248200
KYMR,2020-12-01,46.47,51.2199,46.47,47.04,257100
KYMR,2020-12-02,47.18,55,46.14,51.9,208000
