ticker,date,close
LCID,2021-12-02,$48.41
LCID,2021-12-01,$51.14
LCID,2021-11-30,$52.98
LCID,2021-11-29,$55.06
LCID,2021-11-26,$51.72
LCID,2021-11-24,$52.57
LCID,2021-11-23,$52.44
LCID,2021-11-22,$51.12
LCID,2021-11-19,$55.21
LCID,2021-11-18,$47.05
LCID,2021-11-17,$52.55
LCID,2021-11-16,$55.52
LCID,2021-11-15,$44.88
LCID,2021-11-12,$43.93
LCID,2021-11-11,$44.98
LCID,2021-11-10,$40.75
LCID,2021-11-09,$44.78
LCID,2021-11-08,$45.92
LCID,2021-11-05,$41.80
LCID,2021-11-04,$37.12
LCID,2021-11-03,$36.55
LCID,2021-11-02,$35.13
LCID,2021-11-01,$36.53
LCID,2021-10-29,$36.99
LCID,2021-10-28,$35.48
LCID,2021-10-27,$27.02
LCID,2021-10-26,$26.38
LCID,2021-10-25,$26.85
LCID,2021-10-22,$24.11
LCID,2021-10-21,$24.46
LCID,2021-10-20,$24.24
LCID,2021-10-19,$24.73
LCID,2021-10-18,$25.34
LCID,2021-10-15,$24.08
LCID,2021-10-14,$24.01
LCID,2021-10-13,$22.59
LCID,2021-10-12,$23.06
LCID,2021-10-11,$22.87
LCID,2021-10-08,$23.23
LCID,2021-10-07,$24.38
LCID,2021-10-06,$24.29
LCID,2021-10-05,$24.02
LCID,2021-10-04,$24.14
LCID,2021-10-01,$24.61
LCID,2021-09-30,$25.38
LCID,2021-09-29,$26.28
LCID,2021-09-28,$24.54
LCID,2021-09-27,$25.89
LCID,2021-09-24,$25.43
LCID,2021-09-23,$25.42
LCID,2021-09-22,$24.95
LCID,2021-09-21,$26.81
LCID,2021-09-20,$24.07
LCID,2021-09-17,$22.96
LCID,2021-09-16,$21.17
LCID,2021-09-15,$19.91
LCID,2021-09-14,$18.95
LCID,2021-09-13,$20.06
LCID,2021-09-10,$19.93
LCID,2021-09-09,$19.85
LCID,2021-09-08,$18.93
LCID,2021-09-07,$19.89
LCID,2021-09-03,$19.56
LCID,2021-09-02,$18.66
LCID,2021-09-01,$17.79
LCID,2021-08-31,$19.96
LCID,2021-08-30,$20.63
LCID,2021-08-27,$21.03
LCID,2021-08-26,$21.48
LCID,2021-08-25,$21.81
LCID,2021-08-24,$22.83
LCID,2021-08-23,$21.65
LCID,2021-08-20,$21.67
LCID,2021-08-19,$21.71
LCID,2021-08-18,$22.55
LCID,2021-08-17,$22.56
LCID,2021-08-16,$22.83
LCID,2021-08-13,$23.48
LCID,2021-08-12,$23.85
LCID,2021-08-11,$24.47
LCID,2021-08-10,$24.46
LCID,2021-08-09,$23.50
LCID,2021-08-06,$23.38
LCID,2021-08-05,$22.75
LCID,2021-08-04,$22.63
LCID,2021-08-03,$23.58
LCID,2021-08-02,$23.77
LCID,2021-07-30,$23.72
LCID,2021-07-29,$23.35
LCID,2021-07-28,$24.08
LCID,2021-07-27,$25.18
LCID,2021-07-26,$26.83
LCID,2021-07-23,$24.25
LCID,2021-07-22,$22.90
LCID,2021-07-21,$23.43
LCID,2021-07-20,$24.28
LCID,2021-07-19,$22.20
LCID,2021-07-16,$22.79
LCID,2021-07-15,$22.96
LCID,2021-07-14,$23.79
LCID,2021-07-13,$25.91
LCID,2021-07-12,$26.85
LCID,2021-07-09,$25.55
LCID,2021-07-08,$24.96
LCID,2021-07-07,$25.52
LCID,2021-07-06,$26.38
LCID,2021-07-02,$27.02
LCID,2021-07-01,$27.72
LCID,2021-06-30,$28.82
LCID,2021-06-29,$26.32
LCID,2021-06-28,$27.00
LCID,2021-06-25,$25.18
LCID,2021-06-24,$24.85
LCID,2021-06-23,$25.06
LCID,2021-06-22,$23.42
LCID,2021-06-21,$22.96
LCID,2021-06-18,$23.40
LCID,2021-06-17,$23.55
LCID,2021-06-16,$24.04
LCID,2021-06-15,$22.61
LCID,2021-06-14,$24.12
LCID,2021-06-11,$25.14
LCID,2021-06-10,$25.38
LCID,2021-06-09,$26.49
LCID,2021-06-08,$26.64
LCID,2021-06-07,$26.50
LCID,2021-06-04,$23.95
LCID,2021-06-03,$22.96
LCID,2021-06-02,$23.56
LCID,2021-06-01,$21.56
LCID,2021-05-28,$19.72
LCID,2021-05-27,$19.88
LCID,2021-05-26,$19.99
LCID,2021-05-25,$20.28
LCID,2021-05-24,$19.40
LCID,2021-05-21,$19.81
LCID,2021-05-20,$19.79
LCID,2021-05-19,$18.97
LCID,2021-05-18,$19.38
LCID,2021-05-17,$18.31
LCID,2021-05-14,$17.94
LCID,2021-05-13,$17.25
LCID,2021-05-12,$17.80
LCID,2021-05-11,$18.60
LCID,2021-05-10,$18.64
LCID,2021-05-07,$19.28
LCID,2021-05-06,$18.96
LCID,2021-05-05,$19.18
LCID,2021-05-04,$19.17
LCID,2021-05-03,$19.91
LCID,2021-04-30,$21.09
LCID,2021-04-29,$22.07
LCID,2021-04-28,$23.04
LCID,2021-04-27,$22.74
LCID,2021-04-26,$23.87
LCID,2021-04-23,$20.55
LCID,2021-04-22,$19.66
LCID,2021-04-21,$19.89
LCID,2021-04-20,$18.45
LCID,2021-04-19,$19.54
LCID,2021-04-16,$19.52
LCID,2021-04-15,$20.12
LCID,2021-04-14,$21.73
LCID,2021-04-13,$22.09
LCID,2021-04-12,$22.03
LCID,2021-04-09,$22.97
LCID,2021-04-08,$23.16
LCID,2021-04-07,$22.82
LCID,2021-04-06,$24.46
LCID,2021-04-05,$23.00
LCID,2021-04-01,$23.78
LCID,2021-03-31,$23.18
LCID,2021-03-30,$23.51
LCID,2021-03-29,$21.35
LCID,2021-03-26,$23.02
LCID,2021-03-25,$24.03
LCID,2021-03-24,$22.56
LCID,2021-03-23,$24.05
LCID,2021-03-22,$26.15
LCID,2021-03-19,$26.88
LCID,2021-03-18,$26.90
LCID,2021-03-17,$29.50
LCID,2021-03-16,$31.10
LCID,2021-03-15,$28.69
LCID,2021-03-12,$26.77
LCID,2021-03-11,$26.84
LCID,2021-03-10,$24.70
LCID,2021-03-09,$24.46
LCID,2021-03-08,$22.09
LCID,2021-03-05,$24.40
LCID,2021-03-04,$24.34
LCID,2021-03-03,$24.20
LCID,2021-03-02,$27.77
LCID,2021-03-01,$30.63
LCID,2021-02-26,$30.75
LCID,2021-02-25,$27.82
LCID,2021-02-24,$28.70
LCID,2021-02-23,$35.21
LCID,2021-02-22,$57.37
LCID,2021-02-19,$52.94
LCID,2021-02-18,$58.05
LCID,2021-02-17,$56.23
LCID,2021-02-16,$52.70
LCID,2021-02-12,$39.98
LCID,2021-02-11,$31.50
LCID,2021-02-10,$32.87
LCID,2021-02-09,$33.31
LCID,2021-02-08,$32.88
LCID,2021-02-05,$34.65
LCID,2021-02-04,$30.22
LCID,2021-02-03,$29.49
LCID,2021-02-02,$32.14
LCID,2021-02-01,$25.20
LCID,2021-01-29,$22.88
LCID,2021-01-28,$22.33
LCID,2021-01-27,$21.15
LCID,2021-01-26,$24.44
LCID,2021-01-25,$24.95
LCID,2021-01-22,$22.35
LCID,2021-01-21,$17.81
LCID,2021-01-20,$18.06
LCID,2021-01-19,$17.90
LCID,2021-01-15,$18.36
LCID,2021-01-14,$17.36
LCID,2021-01-13,$16.72
LCID,2021-01-12,$14.15
LCID,2021-01-11,$13.20
LCID,2021-01-08,$10.03
LCID,2021-01-07,$10.03
LCID,2021-01-06,$10.01
LCID,2021-01-05,$10.02
LCID,2021-01-04,$10.04
LCID,2020-12-31,$10.01
LCID,2020-12-30,$10.07
LCID,2020-12-29,$10.06
LCID,2020-12-28,$10.08
LCID,2020-12-24,$10.04
LCID,2020-12-23,$10.03
LCID,2020-12-22,$10.00
LCID,2020-12-21,$9.97
LCID,2020-12-18,$9.96
LCID,2020-12-17,$9.97
LCID,2020-12-16,$9.95
LCID,2020-12-15,$9.97
LCID,2020-12-14,$9.98
LCID,2020-12-11,$9.94
LCID,2020-12-10,$9.91
LCID,2020-12-09,$9.92
LCID,2020-12-08,$9.86
LCID,2020-12-07,$9.94
LCID,2020-12-04,$9.88
LCID,2020-12-03,$9.87
LCID,2020-12-02,$9.87
LCID,2020-12-01,$9.88
LCID,2020-11-30,$9.88
LCID,2020-11-27,$9.83
LCID,2020-11-25,$9.76
LCID,2020-11-24,$9.76
LCID,2020-11-23,$9.75
LCID,2020-11-20,$9.71
LCID,2020-11-19,$9.72
LCID,2020-11-18,$9.74
LCID,2020-11-17,$9.71
LCID,2020-11-16,$9.70
LCID,2020-11-13,$9.69
LCID,2020-11-12,$9.70
LCID,2020-11-11,$9.68
LCID,2020-11-10,$9.70
LCID,2020-11-09,$9.67
LCID,2020-11-06,$9.72
LCID,2020-11-05,$9.77
LCID,2020-11-04,$9.69
LCID,2020-11-03,$9.69
LCID,2020-11-02,$9.63
LCID,2020-10-30,$9.63
LCID,2020-10-29,$9.65
LCID,2020-10-28,$9.65
LCID,2020-10-27,$9.65
LCID,2020-10-26,$9.65
LCID,2020-10-23,$9.63
LCID,2020-10-22,$9.65
LCID,2020-10-21,$9.66
LCID,2020-10-20,$9.67
LCID,2020-10-19,$9.68
LCID,2020-10-16,$9.68
LCID,2020-10-15,$9.68
LCID,2020-10-14,$9.68
LCID,2020-10-13,$9.70
LCID,2020-10-12,$9.73
LCID,2020-10-09,$9.75
LCID,2020-10-08,$9.72
LCID,2020-10-07,$9.71
LCID,2020-10-06,$9.68
LCID,2020-10-05,$9.71
LCID,2020-10-02,$9.74
LCID,2020-10-01,$9.76
LCID,2020-09-30,$9.78
LCID,2020-09-29,$9.78
LCID,2020-09-28,$9.83
LCID,2020-09-25,$9.81
LCID,2020-09-24,$9.77
LCID,2020-09-23,$9.85
LCID,2020-09-22,$9.88
LCID,2020-09-21,$9.86
LCID,2020-09-18,$9.89
